Model,Test_Acc,Test_Recall,Test_Precision,Test_F1
Random Forest,0.826530612244898,0.46808510638297873,0.4583333333333333,0.4631578947368421
Pruned DT (depth=3),0.7346938775510204,0.6382978723404256,0.32967032967032966,0.43478260869565216
Pruned DT (depth=5),0.7653061224489796,0.5106382978723404,0.34285714285714286,0.41025641025641024
SMOTE+DT (depth=5),0.7517006802721088,0.3829787234042553,0.2903225806451613,0.3302752293577982
Pruned DT (depth=7),0.6972789115646258,0.44680851063829785,0.25,0.32061068702290074
SMOTE+DT (depth=7),0.7380952380952381,0.3829787234042553,0.2727272727272727,0.3185840707964602
SMOTE+DT (depth=10),0.7482993197278912,0.3617021276595745,0.2786885245901639,0.3148148148148148
Pruned DT (depth=10),0.6564625850340136,0.44680851063829785,0.21875,0.2937062937062937
Original DT (depth=15),0.7653061224489796,0.2553191489361702,0.2608695652173913,0.25806451612903225
